"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Abono de Permanência";"O abono de permanência foi instituído pela Emenda Constitucional nº 41/03, e é um benefício pecuniário concedido ao servidor que tendo alcançado todos os requisitos para se aposentar voluntariamente, opte por permanecer em atividade até, no máximo, a idade para se aposentar compulsoriamente, sendo seu valor correspondente ao valor da contribuição previdenciária do servidor.";"administração pública";"1";"0";"55"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Abono de Permanência do Poder Executivo Federal";"Abono de Permanência
O abono de permanência é um benefício pecuniário concedido ao servidor que opte por permanecer em atividade após ter cumprido todos os requisitos para aposentadoria voluntária, no valor equivalente à sua contribuição previdenciária, até completar as exigências para a aposentadoria compulsória.
INFORMAÇÕES GERAIS
	O tempo de serviço e/ou contribuição anterior à FIOCRUZ, deverá ser comprovado mediante certidões emitidas pelo Instituto Nacional de Seguridade Social ou pelo respectivo órgão da Administração Pública.
	O Abono de Permanência é devido a partir do cumprimento dos requisitos para sua obtenção, limitada a vigência da Emenda Constitucional 41, de 19.12.2003, conforme orientação contida no Ofício Circular n° 25/SRH/MP, de 29.10.2004 e § 3º do art. 3º da Orientação Normativa nº 01/SPS/INSS, de 06.01.2004.
	O passivo financeiro gerado no período anterior a janeiro de 2005 será efetivado observando-se as regras de pagamento de exercício anteriores.

EXIGÊNCIA DOCUMENTAL
Deverá ser anexado ao requerimento de concessão do Abono de Permanência, o Mapa de Tempo de Serviço devidamente atualizado e assinado pelo SRH da unidade de lotação do requerente.

PROCEDIMENTOS
A concessão do Abono de Permanência será efetivada mediante a protocolização do pedido do servidor através de requerimento próprio, devendo constar a expressão opção por permanecer em atividade.
";"servidor federal";"0";"0";"0"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Acervo Judiciário";"Base de descrição dos documentos judiciais provenientes de diversos órgãos do Poder Judiciário. A base contempla os documentos provenientes da Casa da Suplicação do Brasil, do Supremo Tribunal de Justiça e do Supremo Tribunal Federal que estão disponíveis na Base de Processos do STF.";"ACERVO,Arquivo,Arquivo Nacional,Dados Estratégicos,Judiciário,Processos";"10";"0";"1289"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Acordos de Cooperação Técnica";"Dados referentes aos acordos de cooperação técnica firmados com o Arquivo Nacional.";"Acordo,Acordo de Cooperação Técnica,Cooperação,técnica";"12";"0";"274"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Adesão ao Conecta Gov.br - programa de interoperabilidade do Poder Executivo Federal";"O Conecta GOV.BR é um programa que promove a troca automática e segura de informações entre os sistemas para que o cidadão não tenha que reapresentar informações que o governo já possua. Isso é um direito do cidadão garantido pela Lei 13.726/2018 - Simplificação e pela Lei 14.129/2021 - Governo Digital. 

O Conecta é uma iniciativa da Secretaria de Governo Digital para os órgãos e entidades do Poder Executivo Federal, que tem como principais objetivos desonerar o cidadão, simplificar o serviço público, reduzir fraude e trazer mais segurança e economia para todo o processo.

Para promover a interoperabilidade, o órgão precisa realizar adesão ao Conecta GOV.BR para ter acesso aos dados. Todavia, para ter acesso aos dados, será necessário que o órgão aderente tenha autorização do órgão gestor dos dados e que a solicitação esteja aderente à LGPD.";"conecta gov.br,economicidade,infraestrutura nacional de dados,integração de dados,interoperabilidade";"10";"0";"548"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Afastamento Remunerado";"Afastamentos e Licenças

O servidor público federal dispõe de modalidades de afastamentos e de licenças que estão previstas por legislação específica e relacionadas pela necessidade do servidor e da administração pública.
Em relação às modalidades e às suas especificidades, seguem os diferentes tipos de afastamentos e licenças previstos pela legislação brasileira.

Afastamentos
Afastamento para Justiça Eleitoral
Afastamento para Mandato Eletivo
Afastamento para ser cedido para ter exercício em outro órgão ou entidade dos   Poderes da União, dos Estados, ou do Distrito Federal e dos Municípios
Afastamento para Estudo ou Missão no Exterior
Afastamentos para realização de programas de mestrado e doutorado
Afastamentos para realização de programas de pós-doutorado
Afastamento de servidor para servir em organismo internacional de que o Brasil participe ou com o qual coopere dar-se-á com perda total da remuneração.
 
Licenças
Licença à Maternidade
Licença Incentivada sem Remuneração
Licença para Atividade Política
Licença para Capacitação
Licença para Desempenho de Mandato Classista
Licença para Tratamento de Saúde
Licença para Tratar de Interesses Particulares
Licença Paternidade
Licença por Acidente em Serviço
Licença por Motivo de Afastamento do Cônjuge ou Companheiro
Licença por Motivo de Doença em Pessoa da Família
Licença-Prêmio por Assiduidade

";"Afastamento Remunerado,Servidor";"0";"0";"0"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Aposentados";"As informações disponíveis nesta consulta referem-se aos servidores aposentados do Poder Executivo Federal, não incluindo portanto, dados sobre servidores ativos, pensionistas ou instituidores de pensão, nem mesmo sobre servidores dos poderes Judiciário e Legislativo. 
Os dados sobre servidores civis têm origem no Sistema Integrado de Administração de Recursos Humanos (Siape) e reúnem informações dos órgãos integrantes do Sistema de Pessoal Civil da Administração Federal (Sipec), e não incluem dados relativos aos servidores do Banco Central do Brasil (Bacen). 
Os arquivos são os disponibilizados pelo Portal de dados abertos, e portanto, não são da fonte primária. Estão disponíveis informações, em formato aberto, sobre nome do aposentado, cpf (desconfigurado) órgão de origem, cargo emprego, regime jurídico, fundamentação da aposentadoria  dos servidores públicos do executivo federal. 
Os arquivos abaixo apresentam: 
1) Servidores: NOME; CPF(descaracterizado); MATRICULA; SITUAÇÃO DE VINCULO; UPAG(unidade pagadora); ÓRGÃO DE ORIGEM; DESCRIÇÃO-CARGO-EMPREGO;  CLASSE-CARGO; PADRÃO-CARGO; REFERENCIA-CARGO; NÍVEL_CARGO ; REGIME JURÍDICO; FUNDAMENTAÇÃO DA APOSENTADORIA; DATA DA OCORRÊNCIA; DATA DA PUBLICAÇÃO DOU; DATA DE APOSENTADORIA; INGRESSO NO SERVIÇO PÚBLICO; DOCUMENTO LEGAL; NÚMERO DO DOCUMENTO LEGAL E DATA DE PUBLICAÇÃO.";"Ações  do Governo Federal";"1";"0";"658"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Atendimentos realizados na central de atendimento da conta gov.br";"Dados anonimizados dos atendimentos realizados quanto a dúvidas relacionadas à conta gov.br, tais como, identificador, título, origem, categoria, data de criação, time responsável, situação do encerramento, datas de início e solução do atendimento.
* Importante: O arquivo CSV disponibilizado para download no recurso é atualizado mensalmente.";"Atendimento ao cidadão,Decreto 8936-2016,Estratégia de Governo Digital,acesso gov.br,digitalização de serviços,gov.br,serviços públicos";"2";"0";"212"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Biblioteca Maria Beatriz Nascimento (Base de dados em Access para controle das publicações)";"Base de Dados em Access para controle das publicações enviadas e/ou recebidas por permuta ou doação. Informações a serem disponibilizadas: Tipo de documento; Título; Autor; Idioma; Dados da publicação; Edição; Descrição; Número de chamada; Assunto.";"Arquivo Nacional";"4";"0";"11"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Biblioteca Maria Beatriz Nascimento (Plataforma para preservação e acesso a objetos digitais do AN)";"Plataforma voltada para a indexação, preservação e acesso aos objetos informacionais digitais publicados e produzidos pela instituição, bem como obras que tenham o Arquivo Nacional como tema. Informações a serem disponibilizadas: Tipo de documento; Título; Autor; Instituição; Resumo; Notas; Assuntos; Local; Fonte; Data; Editor; Coleções.";"Arquivo Nacional";"4";"0";"17"
