Organização;Nome;Descrição;Tags;Quantidade Recursos;Quantidade Reusos;Quantidade Downloads;_eixo;_matches
Ministério da Gestão e da Inovação em Serviços Públicos;Compras Públicas do Governo Federal;"Dados Abertos do Sistema Integrado de Administração e Serviços Gerais - SIASG e [Compras.gov.br](https://compras.dados.gov.br/docs/home.html e https://dadosabertos.compras.gov.br/swagger-ui/index.html#) contém informações das compras públicas realizadas no sistema SIASG/Compras.gov.br.

__Conceito__

O SIASG é o sistema onde se operacionaliza as compras do Governo Federal. Essa operacionalização se dá em diversos módulos, como o catálogo de materiais e serviços ([CATMAT](http://comprasnet.gov.br/acesso.asp?url=/Livre/Catmat/Conitemmat1.asp) / CATSER), o cadastramento e divulgação da licitação (SIDEC, Divulgação), as intençoes de registros de preços (IRP), o cadastramento dos fornecedores ([SICAF](https://www.gov.br/compras/pt-br/sistemas/conheca-o-compras/sicaf-digital), a realização das licitações ([Compras governamentais](http://gov.br/compras), Sessão Pública, RDC), o resultado das licitações (SISPP, SISRP), os empenhos de pagamentos (SISME) e o registro e [gestão dos contratos](https://www.gov.br/compras/pt-br/sistemas/conheca-o-compras/comprasnet-contratos).

__Por que Dados Abertos de Compras Governamentais?__

A prestação de dados como um serviço governamental traz vantagens para toda a sociedade, incluindo o próprio governo. O Ministério Economia está racionando recursos através da publicação dessas informações na Internet.

A disponibilização dos dados das Compras Governamentais é um compromisso firmado pelo governo brasileiro na Parceria para Governo Aberto (Open Government Partnership - OGP do inglês). O governo está comprometido em promover a transparência dos gastos públicos, fornecer informações de valor agregado à sociedade e promover a pesquisa e inovação tecnológica através da implementação da política brasileira de dados abertos.

Os dados estão disponíveis através de uma [API](http://kit.dados.gov.br/Gloss%C3%A1rio/#api) de Dados Abertos que contempla os princípios [REST](http://pt.wikipedia.org/wiki/REST). Abaixo uma lista dos dados disponíveis por essa API:

•	[Dados dos fornecedores](http://compras.dados.gov.br/docs/lista-metodos-fornecedores.html)

•	[Dados do catálogo de materiais](https://dadosabertos.compras.gov.br/swagger-ui/index.html#)

•	[Dados do catálogo de serviços](https://dadosabertos.compras.gov.br/swagger-ui/index.html#)

•	[Dados de licitações](http://compras.dados.gov.br/docs/lista-metodos-licitacoes.html)

•       [Dados de Pregões](http://compras.dados.gov.br/docs/lista-metodos-pregoes.html)

•	[Dados dos contratos](http://compras.dados.gov.br/docs/lista-metodos-comprasContratos.html)

•	[Dados de compras sem Licitação](http://compras.dados.gov.br/docs/lista-metodos-compraSemLicitacao.html)

•	Dados do Regime Diferenciado de Contratações - RDC

__Políticas Públicas__

Publicação dos dados das compras públicas realizadas no sistema SIASG/Comprasnet.

__Legislação__

Constituição Federal; [Lei nº 14.133/2021](https://www.gov.br/compras/pt-br/nllc); [Lei nº 8.666/1993](https://www.gov.br/compras/pt-br/acesso-a-informacao/legislacao); Lei Complementar nº 123/2006; Lei nº 12.232/201; Lei nº 12.349/2010; Decreto nº 1.094/1994; Lei nº 12.462/2011; Lei nº 10.520/2002; Decreto nº 9.507/2018; Decreto nº 9.488/2018; Decreto nº 7.581/2011; Decreto nº 8.250/2014; Decreto nº 7.892/2013.

__Veja também__

- Adaptação do Painel de Compras e da API de Dados Abertos 
https://www.gov.br/compras/pt-br/acesso-a-informacao/comunicados/no-07-2023-adaptacao_painel_de_compras_api_dados_abertos

- Painel de Preços – ferramenta para pesquisa de preços das compras realizadas no sistema SIASG/Comprasnet - http://paineldeprecos.planejamento.gov.br/

- Painel de Compras – ferramenta que apresenta em um só local os principais números das contratações públicas e tem por finalidade oferecer um panorama dos gastos públicos e do comportamento licitatório no âmbito da Administração Pública Federal- http://paineldecompras.economia.gov.br";14133,API,Dados Estratégicos,MP,RDC,SIASG,SICAF,ata,aviso,compras,comprasnet,concorrência,contratos,convite,fornecedores,leilão,licitação,materiais,modalidades,ocorrências,pregão,preços praticados,regime diferenciado de contratações,registro de preços,serviços,sustentável,tomada de preços;42;2;36434;Compras/Contratos/Licitações/Orçamento;ata,catmat,catser,compra,compras,compras.gov,comprasnet,contrat,contrato,contratos,empenh,empenho,fornecedor,licita,licitacao,licitação,pagamento,pregão,rdc,registro de preços,siasg,sicaf
Ministério da Gestão e da Inovação em Serviços Públicos;Catálogo de Bases de Dados;"O Catálogo de Base de Dados (CBD) consiste em uma base centralizada de informações a respeito de bases de dados custodiadas pela administração pública federal. O CBD permitirá que o governo identifique as bases de dados governamentais, suas características, onde estão e quem são seus curadores.
O CBD é uma iniciativa criada e mantida pela Secretaria de Governo Digital (SGD), da Secretaria Especial de Desburocratização, Gestão e Governo Digital (SEDGG), do Ministério da Economia (ME).
O levantamento das bases de dados foi realizado no período de 2021 e 2022, tendo um grande projeto de ampliação e evolução da catalogação para os próximos anos.";Dados,Dados Estratégicos,bases,bases de dados,catalogo;3;0;5451;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Imóveis da União;"Em atendimento à [__Lei nº 12.527, de 2011 - Lei de Acesso à Informação__](http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm); ao Decreto nº 8.777, de 2016, que institui a Política de Dados Abertos do Governo Federal; e ao [__Plano de Dados Abertos do Ministério da Gestão e Inovação em Serviço Público__](http://www.planejamento.gov.br/servicos/central-de-conteudos/publicacoes/plano-de-dados-abertos-pda), a Secretaria do Patrimônio da União publica, neste espaço, dados sobre os bens imobiliários da União registrados em seus bancos de dados.

A Secretaria do Patrimônio da União possui uma página de [__Transparência Ativa__](https://qlik-publico.paineis.gov.br/extensions/transparencia-ativa/transparencia-ativa.html), que fornece, à sociedade, todas as informações referente aos imóveis em si e sobre os ocupantes de imóveis da União. A separação visa a resguardar informações pessoais, nos termos do art. 55 do Decreto nº 7.724, de 2012, que regulamenta a Lei de Acesso à Informação.

Os dados apresentados no recurso ""Consulta Imóveis da União"" são extraídos mensalmente dos seguintes sistemas da SPU: Sistema de Gerenciamento dos Imóveis de Uso Especial (SPIUNET) para os imóveis de Uso Especial e Sistema Integrado de Administração Patrimonial (SIAPA) para imóveis classificados como Dominiais.

Os dados apresentados no recurso ""Consulta Imóveis Funcionais"" são extraídos do Cadastro de Imóveis Funcionais (CIF), sob demanda da Controladoria Geral da União e publicados no Portal da Transparência, no endereço eletrônico https://portaldatransparencia.gov.br/imoveis-funcionais.

O cidadão também poderá ter acesso a outras publicações, referente aos imóveis da União, como Depreciação, Arrecadação e Repasse aos municípios, podendo efetuar a baixa destes dados para consultas.

Veja alguns conceitos importantes:

##Imóveis dominiais:

Trata-se de imóveis da União que não são ocupados pela Administração Pública, mas por terceiros. A ocupação pode ser em caráter precário, como é o caso da Inscrição de Ocupação e da Autorização de Uso, ou por meio de instrumentos de direito real para fins de regularização fundiária, tais como: Aforamentos; Concessões de Direito Real de Uso (CDRU); e Concessão de Uso Especial para fins de Moradia (CUEM). 

##Imóveis de Uso Especial:

São os imóveis que se destinam à execução de serviços administrativos ou à prestação de serviços públicos em geral, tais como prédios de repartições públicas. Um prédio onde esteja instalado um hospital público ou uma escola pública também se enquadram na categoria de bens de uso especial. 

##Imóveis Funcionais: 
São imóveis cuja destinação é reservada ao uso residencial funcional. Fazem parte do grupo Imóveis de Uso Especial.

[__Clique aqui__](http://www.planejamento.gov.br/assuntos/gestao/patrimonio-da-uniao/destinacao-de-imoveis/instrumentos-de-destinacao) para saber mais sobre os instrumentos de destinação patrimonial.

*RIP – Registro Imobiliário Patrimonial*
É o registro correspondente à utilização, código numérico gerado de acordo com lei de formação estabelecida pela SPU. Conforme informado na lei de formação, é utilizada tanto para o registro de unidades autônomas – matrícula individualizada em cartório, chamada de “RIP imóvel” – como para as utilizações, chamadas de “RIP utilização”. Sua lei de formação é MMMM SSSSS 500 D, onde

    MMMM é o código do Município de localização do Imóvel.
    SSSSS, sequencial dentro do Município.
    500: valor fixo para imóveis de Uso Especial.
    D: DV módulo 11, ciclo 9.


A *Conceituação dos imóveis* diz respeito ao tipo de bens da União, conforme definido no art. 20 da Constituição Federal, tais como Terrenos de Marinha, Terrenos de Marginal de Rio, Ilhas, Terras Indígenas, entre outros.

[__Clique aqui__](http://www.planejamento.gov.br/assuntos/gestao/patrimonio-da-uniao/bens-da-uniao)
 para saber mais  sobre bens da União.";Aforamento,Autorização de Uso Sustentável,CDRU,CUEM,Cessão,Concessão de Direito Real de Uso,Concessão de Uso Especial para fins de Moradia,Entrega,Inscrição de ocupação,MGI,SIAPA,SPU,dominiais,imóveis,patrimônio da união,uso especial;3;0;3566;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Cadastro Ambiental Rural - CAR;"Criado pela Lei nº 12.651/2012, no âmbito do Sistema Nacional de Informação sobre Meio Ambiente - SINIMA, e regulamentado pela Instrução Normativa MMA nº 2, de 5 de maio de 2014, o Cadastro Ambiental Rural – CAR é um registro público eletrônico de âmbito nacional, obrigatório para todos os imóveis rurais, com a finalidade de integrar as informações ambientais das propriedades e posses rurais referentes às Áreas de Preservação Permanente - APP, de uso restrito, de Reserva Legal, de remanescentes de florestas e demais formas de vegetação nativa, e das áreas consolidadas, compondo base de dados para controle, monitoramento, planejamento ambiental e econômico e combate ao desmatamento.

A inscrição no CAR é o primeiro passo para obtenção da regularidade ambiental do imóvel, e contempla: dados do proprietário ou possuidor rural; dados sobre os documentos de comprovação de propriedade e ou posse; e informações georreferenciadas do perímetro do imóvel, das áreas de interesse social e das áreas de utilidade pública, com a informação da localização dos remanescentes de vegetação nativa, das Áreas de Preservação Permanente, das áreas de Uso Restrito, das áreas consolidadas e das Reservas Legais.

Para um melhor desempenho e visualização dos metadados, é recomendado que o arquivo seja aberto no Excel, e não diretamente como CSV. Além disso, informações e dados do CAR também podem ser acessados e baixados no portal de consulta pública do CAR, disponível em: https://consultapublica.car.gov.br/.";Cadastro,Código Florestal,Meio Ambiente;10;1;3225;Compras/Contratos/Licitações/Orçamento;ata,empenh,empenho
Ministério da Gestão e da Inovação em Serviços Públicos;Gestão de Pessoas (Executivo Federal) - Gratificações;Contempla os dados cadastrais dos servidores públicos efetivos ativos do Poder Executivo Federal Civil que recebem Gratificação Temporária de Atividade em Escola de Governo – GAEG, Gratificação de Incremento à Atividade de Administração do Patrimônio da União – GIAPU, Gratificação Temporária do Sistema de Administração dos Recursos de Tecnologia da Informação – GSISP ou Gratificação Temporária das Unidades dos Sistemas Estruturadores da Administração Pública Federal - GSISTE. Arquivo em formato CSV. O presente conjunto de dados substitui, a partir de 08/2021, o conjunto de dados Gestão de Pessoas (Executivo Federal) - Gratificação Temporária das Unidades dos Sistemas Estruturadores da Administração Pública Federal (GSISTE). Para obter informações acerca das gratificações GSISTE e GIAPU em períodos anteriores a 08/2021, acesse https://dados.gov.br/dataset/gastos-pessoal-gsiste.;GAEG,GIAPU,GSISP,GSISTE,Poder Executivo,gratificações,servidor público;54;0;2390;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Gestão de Pessoas (Executivo Federal) - Pensionistas;As informações disponibilizadas referem-se ao pagamento (rendimento bruto) recebido por pensionistas de servidores instituidores de pensão, constantes no Sistema Integrado de Administração de Pessoal (Siape).Cabe ressaltar que o Ministério da Economia é responsável pelas informações dos servidores instituidores de pensão e pensionistas do Poder Executivo Federal, não incluindo dados dos poderes Judiciário e Legislativo. Também não constam nos arquivos, dados relativos aos servidores do Banco Central do Brasil (1), Ministério da Defesa (2) (com exceção de militares de ex-territórios ou que assumiram cargos civis no Poder Executivo Federal) e Governo do Distrito Federal (3) (Fundo Constitucional), responsáveis pela publicação dos seus dados em portais próprios. Em relação à Agência Brasileira de Inteligência (Abin), os dados funcionais de pessoal são protegidos pela legislação vigente Lei nº 9883 (4) e Portaria Conjunta n° 5, de 05/08/2015/MPOG (5).;pensionista,pensionistas,poder executivo;99;0;2287;Compras/Contratos/Licitações/Orçamento;pagamento
Ministério da Gestão e da Inovação em Serviços Públicos;Compras.gov.br Contratos;"O [Compras.gov.br Contratos](https://www.gov.br/compras/pt-br/sistemas/comprasnet-contratos) é a plataforma para gestão de contratações públicas que é disponibilizada pelo governo federal e pode ser utilizada por órgãos e entidades da **administração pública federal** direta, autárquica e fundacional, bem como as empresas estatais; e demais órgãos e entidades de **outros poderes** ou das **esferas estadual e municipal**.

Apresentamos os **valores e saldos de empenhos emitidos no SIAFI** e originados do sistema Contratos.gov.br. 

Após a análise das informações e a revisão da metodologia, constatamos que **nem todos os empenhos disponibilizados estão vinculados aos seus respectivos contratos**. Isso ocorre porque a vinculação depende da **ação manual dos responsáveis pela gestão contratual** do órgão contratante.

Informamos que estão sendo adotadas medidas para **garantir e aprimorar maior precisão das informações orçamentárias** vinculadas às compras e aos contratos.

Este conjunto de dados contém arquivos **CSVs** extraídos do Compras Contratos. A organização dos arquivos disponibilizados possibilita o download de todos os dados de forma **massiva** a partir dos arquivos anuais. Complementarmente também são disponibilizados arquivos **mensais** e **diários** contendo apenas os registros novos ou alterados. Estão disponíveis dados das seguintes tabelas:

* Contratos
* Empenhos
* Contratos_Empenhos
* Históricos
* Cronogramas
* Garantias
* Itens
* Prepostos
* Responsáveis
* Despesas Acessórias
* Faturas
* Terceirizados

Os arquivos possuem registros a partir de Janeiro de 2021, que foi quando o Compras Contratos entrou em operação.

Também é possível navegar pelos arquivos acessando diretamente o repositório em [https://repositorio.dados.gov.br/seges/comprasnet_contratos/](https://repositorio.dados.gov.br/seges/comprasnet_contratos/).

## Histórico de Alterações

**Maio/2024**

Foi incluída a tabela de relacionamento Contratos_Empenhos.

Houve também atualização do dicionário de dados.

**Outubro/2022**

Foi alterado o layout da tabela de **empenhos**, inserindo as colunas:

* unidade
* unidade_nome
* gestao
* data_emissao
* informacao_complementar
* sistema_origem

E alteradas as colunas:

* credor -> cpf_cnpj_credor e cpf_cnpj_credor
* naturezadespesa -> naturezadespesa e naturezadespesa_descricao
* planointerno -> planointerno e planointerno_descricao
* empenhado -> valor_empenhado
* aliquidar -> valor_aliquidar
* liquidado -> valor_liquidado
* pago -> valor_pago
* rpinscrito -> valor_rpinscrito
* rpaliquidar -> valor_rpaliquidar
* rpliquidado -> valor_rpaliquidado
* rppago -> valor_rppago

Além disso, agora também são retornados os empenhos que não possuem nenhum contrato associado.";Compras Públicas,compras,compras governamentais,comprasnet;40;0;2069;Compras/Contratos/Licitações/Orçamento;ata,compra,compras,compras.gov,comprasnet,contrat,contrato,contratos,despesa,empenh,empenho,liquid,liquidado,orçament,pago,siafi
Ministério da Gestão e da Inovação em Serviços Públicos;Viagens a Serviço do Governo Federal (SCDP);"Dados das viagens a serviço do Governo Federal oriundos do Sistema de Concessão de Diárias e Passagens (SCDP).

O SCDP é a solução responsável pela gestão dos processos de afastamento a serviço do Governo Federal. Permite a elaboração, o registro, o controle, o acompanhamento e a gestão dos processos de concessão de diárias e passagens.

O Sistema possibilita, ainda, o compartilhamento de uma base de dados única, administrada pelo Gestor Central no Ministério da Economia (ME) e pelos Gestores Setoriais de cada instituição usuária, o que permite um maior controle físico e financeiro das diárias e passagens emitidas no âmbito da Administração Pública Federal.

#Quais dados estão disponíveis?

O conjunto de dados disponibilizado contempla informações sobre bilhetes aéreos emitidos ou alterados na modalidade Compra Direta, com início de publicação em 01/11/2017, com dados referentes ao mês de outubro de 2017. Esses dados tem periodicidade de publicação mensal, em geral, no primeiro dia útil do mês subsequente.

Para informações atualizadas, utilize o acesso ao Painel de Viagens, por meio do endereço: http://paineldeviagens.economia.gov.br.

#Como obter mais informações sobre o SCDP:

Para maiores informações ou solicitações relacionadas ao SCDP, por favor utilize um dos seguintes canais:

* portaldeservicos.economia.gov.br.
* 0800-978-9001 de segunda-feira a sexta-feira, das 8h às 18h.
* www2.scdp.gov.br, seção Documentações de Apoio.";Dados Estratégicos,afastamento a serviço,compra direta,diária,diárias,mp,passagem,passagens,scdp,viagem,viagem a serviço,viagens;93;0;1574;Compras/Contratos/Licitações/Orçamento;compra,licita
Ministério da Gestão e da Inovação em Serviços Públicos;Transferências e Parcerias da União;"#Escopo
A Plataforma TransfereGov disponibiliza acesso livre às informações de Transferências da União com o objetivo de facilitar o acesso aos dados do sistema para a sociedade e a outras esferas de Governo.
O usuário poderá baixar as principais informações dos instrumentos para realizar análises e cruzamentos que desejar a partir desses dados. 

O conjunto de dados disponibilizado contempla as seguintes informações: data_carga_siconv, Programas Disponibilizados, Programas/Propostas, Propostas Cadastradas, Convênios, Emendas Parlamentares, Plano de Aplicação Detalhado, Empenhos Realizados, Desembolsos (Ordem Bancária), Pagamentos a Favorecidos, OBTV para Convenente, Histórico Situação Propostas/Convênios, Ingresso de Contrapartida, Termo Aditivo, Prorroga de Ofício, Meta (Cronograma Físico), Etapa (Cronograma Físico), Consórcios, Empenhos Desembolso, Proponentes, Desbloqueio Contrato de Repasse, Cronograma de Desembolso e Justificativas da Proposta.

Se optar por fazer o download desses arquivos por assunto e verificar a data de atualização dos dados, acesse o link: __http://repositorio.dados.gov.br/seges/detru/__


#Conceito
As Transferências da União são recursos financeiros repassados pelo Governo Federal para Estados, Municípios e Organizações da Sociedade Civil, em decorrência da celebração de convênios, contratos de repasse ou outros instrumentos similares, cuja finalidade é a realização de obras e/ou serviços de interesse comum. 

#Política Pública
Objeto cuja execução é atribuída ao convenente mediante disponibilização orçamentária e financeira do concedente para estruturação de serviços públicos de interesse local, a exemplo dos de transporte coletivo, saneamento básico, bem como obras de habitação de interesse social e de infraestrutura.

#Legislação
Lei 8.666, de 21 de junho de 1993, Lei nº 13.019, de 31 de julho de 2014, Lei 9.790, de 23 de março de 1999, Decreto nº 3.100, de 30 de julho de 1999, Decreto nº 6.170, de 25 de julho de 2007, Decreto nº 10.035, de 1º de outubro de 2019, Decreto nº 10.024, de 20 de setembro de 2019, Portaria Interministerial nº 127, de 29 de maio de 2008, Portaria Interministerial Nº 507, de 24 de novembro de 2011. Portaria Interministerial Nº 424, de 30 de dezembro de 2016, Portaria Interministerial nº 13.395, de 5 de junho de 2020, Portaria ME nº 66, de 31 de março de 2007, Portaria ME nº 67, de 31 de março de 2007, Portaria SEGES/ME Nº 25.405, de 23 de dezembro de 2020, Portaria Nº 33, de 22 de janeiro de 2020, Portaria STN Nº 749, de 17 de março de 2021. 

#Veja Também
- Painel Transferências Abertas: Disponibiliza acesso às informações das Transferências da União de forma intuitiva, flexível e rápida, para apoiar o processo de tomada de decisão,  __https://clusterqap2.economia.gov.br/extensions/home/home.html__

- Repositório de Dados: Acesso livre com atualização diária dos dados do sistema da Plataforma TransfereGov,  __http://repositorio.dados.gov.br/seges/detru/__

#Central de Atendimento
Para obter os contatos relacionados à Plataforma TransfereGov e ter mais informações sobre as Transferências da União acesse __https://www.gov.br/transferegov/pt-br/fale-conosco/centralatendimento__";Administração Pública Federal,MGI,MP,Ministério da Economia,Ministério do Planejamento,ONG,OSC,Plataforma Mais Brasil,TransfereGov,Transferências voluntárias da União,contratos de repasse,convênios,organizações da sociedade civil,siconv;41;0;1564;Compras/Contratos/Licitações/Orçamento;ata,contrat,contrato,contratos,convênio,empenh,empenho,orçament,pagamento,siconv
Ministério da Gestão e da Inovação em Serviços Públicos;Gov360;"O Gov360 traz o Raio-X da Administração Pública Federal e é uma
ferramenta gerencial, desenvolvida pela Secretaria de Gestão e
Inovação do Ministério da Gestão e da Inovação em Serviços Públicos
(SEGES/MGI). Tem o objetivo de fomentar o acompanhamento da gestão
pública, do seu aprimoramento por meio do uso de dados e informações,
além de impulsionar o fortalecimento dos Sistemas Estruturadores do
Governo Federal.

O Painel consolida um conjunto de dados sobre:

* Orçamento Primário;
* Pessoal (composição e as características da força de trabalho);
* Estrutura de Cargos e Funções;
* Patrimônio da União (dados de imóveis da união);
* Custeio Administrativo; e
* Soluções de gestão.

Além de poder visualizar os dados pelo painel, é possível também
baixar e utilizar, na forma de dados abertos, as informações nele
mostradas. Isso possibilita a realização de outros tipos de análise
não previstas nas visualizações do painel, além do cruzamento com
outras fontes de dados.

## Organização das t";Alocacação de Servidores,Bens da União,Cargo e Funções,Cargos alocados,Custeio Administrativo,Custos de Pessoal,Dados de Pessoal do Executivo Federal,Despesa com Pessoal,Força de Trabalho,Gov360,Modernização Administrativa,Orçamento Primário,Pessoal,Servidores,Soluções de Modernização,cargos ocupados,frictionless-data,patrimônio da união;76;0;1549;Compras/Contratos/Licitações/Orçamento;ata,despesa,orçament
